log_id,case_id,sop_id,step_no,step_name,executed_by,timestamp,expected_duration_min,actual_duration_min,deviation_flag,deviation_type,risk_level
30,LN-2026001,SOP-LU-001,15,Post-Disbursement Audit Tagging,P.Nair,2026-06-27 02:05:00,5,4,False,None,Low
31,LN-2026002,SOP-LU-001,1,Application Intake,N.Bose,2026-06-26 23:18:00,10,7,False,None,Low
32,LN-2026002,SOP-LU-001,2,KYC & Identity Verification,T.Sharma,2026-06-26 23:54:00,20,17,False,None,High
33,LN-2026002,SOP-LU-001,3,Credit Bureau Pull,A.Rao,2026-06-27 00:12:00,15,17,False,None,Medium
34,LN-2026002,SOP-LU-001,4,Income & Employment Verification,A.Rao,2026-06-27 00:45:00,25,28,False,None,Medium
35,LN-2026002,SOP-LU-001,5,Debt-to-Income Calculation,M.Khan,2026-06-27 01:02:00,10,10,False,None,Medium
36,LN-2026002,SOP-LU-001,6,Collateral Valuation,P.Nair,2026-06-27 02:00:00,45,49,False,None,High
37,LN-2026002,SOP-LU-001,7,Fraud Risk Screening,J.Pillai,2026-06-27 02:27:00,15,11,False,None,High
38,LN-2026002,SOP-LU-001,8,Automated Credit Scoring,T.Sharma,2026-06-27 02:37:00,5,5,False,None,Medium
39,LN-2026002,SOP-LU-001,9,Manual Underwriting Review,V.Reddy,2026-06-27 03:13:00,30,33,False,None,High
40,LN-2026002,SOP-LU-001,10,Conditional Approval Decision,V.Reddy,2026-06-27 03:32:00,15,18,False,None,Medium
41,LN-2026002,SOP-LU-001,11,Document Stipulation Collection,S.Iyer,2026-06-27 03:55:00,20,20,False,None,Low
42,LN-2026002,SOP-LU-001,12,Final Compliance Sign-off,N.Bose,2026-06-27 04:10:00,15,14,False,None,High
43,LN-2026002,SOP-LU-001,13,Final Approval & Booking,J.Pillai,2026-06-27 04:32:00,10,8,False,None,Medium
44,LN-2026002,SOP-LU-001,14,Disbursement Instruction,J.Pillai,2026-06-27 04:50:00,10,11,False,None,Medium
45,LN-2026002,SOP-LU-001,15,Post-Disbursement Audit Tagging,P.Nair,2026-06-27 05:13:00,5,4,False,None,Low
46,LN-2026003,SOP-LU-001,1,Application Intake,A.Rao,2026-06-05 23:15:00,10,8,False,None,Low
47,LN-2026003,SOP-LU-001,2,KYC & Identity Verification,S.Iyer,2026-06-05 23:46:00,20,27,False,None,High
48,LN-2026003,SOP-LU-001,3,Credit Bureau Pull,M.Khan,2026-06-06 00:03:00,15,12,False,None,Medium
49,LN-2026003,SOP-LU-001,4,Income & Employment Verification,M.Khan,2026-06-06 00:36:00,25,22,False,None,Medium
50,LN-2026003,SOP-LU-001,5,Debt-to-Income Calculation,V.Reddy,2026-06-06 00:47:00,10,7,False,None,Medium
51,LN-2026003,SOP-LU-001,6,Collateral Valuation,N.Bose,2026-06-06 01:51:00,45,45,False,None,High
52,LN-2026003,SOP-LU-001,7,Fraud Risk Screening,A.Rao,2026-06-06 02:09:00,15,16,False,None,High
53,LN-2026003,SOP-LU-001,8,Automated Credit Scoring,K.Menon,2026-06-06 02:18:00,5,3,False,None,Medium
54,LN-2026003,SOP-LU-001,9,Manual Underwriting Review,N.Bose,2026-06-06 03:04:00,30,34,False,None,High
55,LN-2026003,SOP-LU-001,10,Conditional Approval Decision,T.Sharma,2026-06-06 03:29:00,15,18,False,None,Medium
56,LN-2026003,SOP-LU-001,11,Document Stipulation Collection,M.Khan,2026-06-06 03:50:00,20,20,False,None,Low
57,LN-2026003,SOP-LU-001,12,Final Compliance Sign-off,A.Rao,2026-06-06 04:19:00,15,16,False,None,High
58,LN-2026003,SOP-LU-001,13,Final Approval & Booking,R.Das,2026-06-06 04:36:00,10,8,False,None,Medium
59,LN-2026003,SOP-LU-001,14,Disbursement Instruction,S.Iyer,2026-06-06 04:53:00,10,8,False,None,Medium
60,LN-2026003,SOP-LU-001,15,Post-Disbursement Audit Tagging,K.Menon,2026-06-06 05:02:00,5,4,False,None,Low
61,LN-2026004,SOP-LU-001,1,Application Intake,J.Pillai,2026-06-22 09:19:00,10,10,False,None,Low
62,LN-2026004,SOP-LU-001,2,KYC & Identity Verification,T.Sharma,2026-06-22 09:55:00,20,19,False,None,High
63,LN-2026004,SOP-LU-001,3,Credit Bureau Pull,N.Bose,2026-06-22 10:21:00,15,14,False,None,Medium
64,LN-2026004,SOP-LU-001,4,Income & Employment Verification,N.Bose,2026-06-22 10:52:00,25,24,False,None,Medium
65,LN-2026004,SOP-LU-001,5,Debt-to-Income Calculation,J.Pillai,2026-06-22 11:16:00,10,7,False,None,Medium
66,LN-2026004,SOP-LU-001,6,Collateral Valuation,A.Rao,2026-06-22 12:17:00,45,44,False,None,High
67,LN-2026004,SOP-LU-001,7,Fraud Risk Screening,T.Sharma,2026-06-22 12:32:00,15,14,False,None,High
68,LN-2026004,SOP-LU-001,8,Automated Credit Scoring,R.Das,2026-06-22 12:37:00,5,4,False,None,Medium
69,LN-2026004,SOP-LU-001,9,Manual Underwriting Review,P.Nair,2026-06-22 13:16:00,30,27,False,None,High
70,LN-2026004,SOP-LU-001,10,Conditional Approval Decision,K.Menon,2026-06-22 13:36:00,15,14,False,None,Medium
71,LN-2026004,SOP-LU-001,11,Document Stipulation Collection,V.Reddy,2026-06-22 14:09:00,20,22,False,None,Low
72,LN-2026004,SOP-LU-001,12,Final Compliance Sign-off,N.Bose,2026-06-22 14:38:00,15,12,False,None,High
73,LN-2026004,SOP-LU-001,13,Final Approval & Booking,S.Iyer,2026-06-22 14:48:00,10,8,False,None,Medium
74,LN-2026004,SOP-LU-001,14,Disbursement Instruction,N.Bose,2026-06-22 15:06:00,10,12,False,None,Medium
75,LN-2026004,SOP-LU-001,15,Post-Disbursement Audit Tagging,N.Bose,2026-06-22 15:27:00,5,5,False,None,Low
76,LN-2026005,SOP-LU-001,1,Application Intake,N.Bose,2026-05-26 08:18:00,10,9,False,None,Low
77,LN-2026005,SOP-LU-001,2,KYC & Identity Verification,P.Nair,2026-05-26 08:38:00,20,17,False,None,High
78,LN-2026005,SOP-LU-001,3,Credit Bureau Pull,M.Khan,2026-05-26 08:55:00,15,13,False,None,Medium
79,LN-2026005,SOP-LU-001,4,Income & Employment Verification,T.Sharma,2026-05-26 09:39:00,25,25,False,None,Medium
80,LN-2026005,SOP-LU-001,5,Debt-to-Income Calculation,N.Bose,2026-05-26 09:55:00,10,9,False,None,Medium
81,LN-2026005,SOP-LU-001,6,Collateral Valuation,P.Nair,2026-05-26 10:50:00,45,48,False,None,High
82,LN-2026005,SOP-LU-001,7,Fraud Risk Screening,T.Sharma,2026-05-26 11:20:00,15,12,False,None,High
83,LN-2026005,SOP-LU-001,8,Automated Credit Scoring,P.Nair,2026-05-26 11:43:00,5,5,True,Documentation Missing,Medium
84,LN-2026005,SOP-LU-001,9,Manual Underwriting Review,A.Rao,2026-05-26 12:27:00,30,34,False,None,High
85,LN-2026005,SOP-LU-001,10,Conditional Approval Decision,A.Rao,2026-05-26 12:59:00,15,16,False,None,Medium
86,LN-2026005,SOP-LU-001,11,Document Stipulation Collection,A.Rao,2026-05-26 13:32:00,20,16,False,None,Low
87,LN-2026005,SOP-LU-001,12,Final Compliance Sign-off,K.Menon,2026-05-26 13:58:00,15,14,False,None,High
88,LN-2026005,SOP-LU-001,13,Final Approval & Booking,R.Das,2026-05-26 14:12:00,10,9,False,None,Medium
89,LN-2026005,SOP-LU-001,14,Disbursement Instruction,P.Nair,2026-05-26 14:31:00,10,10,False,None,Medium
90,LN-2026005,SOP-LU-001,15,Post-Disbursement Audit Tagging,J.Pillai,2026-05-26 14:45:00,5,5,False,None,Low
91,LN-2026006,SOP-LU-001,1,Application Intake,M.Khan,2026-07-10 02:11:00,10,10,False,None,Low
92,LN-2026006,SOP-LU-001,2,KYC & Identity Verification,K.Menon,2026-07-10 02:42:00,20,20,False,None,High
93,LN-2026006,SOP-LU-001,3,Credit Bureau Pull,T.Sharma,2026-07-10 03:14:00,15,16,False,None,Medium
94,LN-2026006,SOP-LU-001,4,Income & Employment Verification,V.Reddy,2026-07-10 03:48:00,25,31,False,None,Medium
95,LN-2026006,SOP-LU-001,5,Debt-to-Income Calculation,A.Rao,2026-07-10 04:00:00,10,9,False,None,Medium
96,LN-2026006,SOP-LU-001,6,Collateral Valuation,K.Menon,2026-07-10 04:47:00,45,31,False,None,High
97,LN-2026006,SOP-LU-001,7,Fraud Risk Screening,T.Sharma,2026-07-10 05:17:00,15,14,False,None,High
98,LN-2026006,SOP-LU-001,8,Automated Credit Scoring,K.Menon,2026-07-10 05:29:00,5,4,False,None,Medium
99,LN-2026006,SOP-LU-001,9,Manual Underwriting Review,P.Nair,2026-07-10 06:01:00,30,31,False,None,High
100,LN-2026006,SOP-LU-001,10,Conditional Approval Decision,S.Iyer,2026-07-10 06:34:00,15,17,False,None,Medium
101,LN-2026006,SOP-LU-001,11,Document Stipulation Collection,R.Das,2026-07-10 07:07:00,20,19,False,None,Low
102,LN-2026006,SOP-LU-001,12,Final Compliance Sign-off,K.Menon,2026-07-10 07:26:00,15,13,False,None,High
103,LN-2026006,SOP-LU-001,13,Final Approval & Booking,N.Bose,2026-07-10 07:43:00,10,9,False,None,Medium
104,LN-2026006,SOP-LU-001,14,Disbursement Instruction,N.Bose,2026-07-10 07:55:00,10,10,False,None,Medium
105,LN-2026006,SOP-LU-001,15,Post-Disbursement Audit Tagging,K.Menon,2026-07-10 08:15:00,5,5,False,None,Low
106,LN-2026007,SOP-LU-001,1,Application Intake,V.Reddy,2026-06-09 23:08:00,10,7,False,None,Low
107,LN-2026007,SOP-LU-001,2,KYC & Identity Verification,M.Khan,2026-06-09 23:48:00,20,21,False,None,High
108,LN-2026007,SOP-LU-001,3,Credit Bureau Pull,S.Iyer,2026-06-10 00:05:00,15,13,False,None,Medium
109,LN-2026007,SOP-LU-001,4,Income & Employment Verification,M.Khan,2026-06-10 00:47:00,25,25,False,None,Medium
110,LN-2026007,SOP-LU-001,5,Debt-to-Income Calculation,V.Reddy,2026-06-10 01:08:00,10,9,False,None,Medium
111,LN-2026007,SOP-LU-001,6,Collateral Valuation,N.Bose,2026-06-10 02:00:00,45,43,False,None,High
112,LN-2026007,SOP-LU-001,7,Fraud Risk Screening,V.Reddy,2026-06-10 02:21:00,15,16,False,None,High
113,LN-2026007,SOP-LU-001,8,Automated Credit Scoring,R.Das,2026-06-10 02:28:00,5,4,False,None,Medium
114,LN-2026007,SOP-LU-001,9,Manual Underwriting Review,A.Rao,2026-06-10 03:02:00,30,33,False,None,High
115,LN-2026007,SOP-LU-001,10,Conditional Approval Decision,N.Bose,2026-06-10 03:17:00,15,14,False,None,Medium
116,LN-2026007,SOP-LU-001,11,Document Stipulation Collection,T.Sharma,2026-06-10 03:38:00,20,18,False,None,Low
117,LN-2026007,SOP-LU-001,12,Final Compliance Sign-off,V.Reddy,2026-06-10 03:56:00,15,15,True,Documentation Missing,High
118,LN-2026007,SOP-LU-001,13,Final Approval & Booking,N.Bose,2026-06-10 04:12:00,10,8,False,None,Medium
119,LN-2026007,SOP-LU-001,14,Disbursement Instruction,N.Bose,2026-06-10 04:30:00,10,8,False,None,Medium
120,LN-2026007,SOP-LU-001,15,Post-Disbursement Audit Tagging,S.Iyer,2026-06-10 04:38:00,5,6,False,None,Low
121,LN-2026008,SOP-LU-001,1,Application Intake,M.Khan,2026-06-02 16:20:00,10,10,False,None,Low
122,LN-2026008,SOP-LU-001,2,KYC & Identity Verification,J.Pillai,2026-06-02 16:48:00,20,25,False,None,High
123,LN-2026008,SOP-LU-001,3,Credit Bureau Pull,J.Pillai,2026-06-02 17:11:00,15,16,False,None,Medium
124,LN-2026008,SOP-LU-001,4,Income & Employment Verification,M.Khan,2026-06-02 17:34:00,25,19,True,Step Skipped,Medium
125,LN-2026008,SOP-LU-001,5,Debt-to-Income Calculation,J.Pillai,2026-06-02 17:58:00,10,10,False,None,Medium
126,LN-2026008,SOP-LU-001,6,Collateral Valuation,R.Das,2026-06-02 19:06:00,45,52,False,None,High
127,LN-2026008,SOP-LU-001,7,Fraud Risk Screening,T.Sharma,2026-06-02 19:40:00,15,15,False,None,High
128,LN-2026008,SOP-LU-001,8,Automated Credit Scoring,M.Khan,2026-06-02 20:01:00,5,4,False,None,Medium
129,LN-2026008,SOP-LU-001,9,Manual Underwriting Review,R.Das,2026-06-02 20:27:00,30,25,False,None,High
130,LN-2026008,SOP-LU-001,10,Conditional Approval Decision,K.Menon,2026-06-02 20:49:00,15,14,False,None,Medium
131,LN-2026008,SOP-LU-001,11,Document Stipulation Collection,J.Pillai,2026-06-02 21:11:00,20,17,True,Documentation Missing,Low
132,LN-2026008,SOP-LU-001,12,Final Compliance Sign-off,K.Menon,2026-06-02 21:34:00,15,16,False,None,High
133,LN-2026008,SOP-LU-001,13,Final Approval & Booking,N.Bose,2026-06-02 21:55:00,10,13,False,None,Medium
134,LN-2026008,SOP-LU-001,14,Disbursement Instruction,T.Sharma,2026-06-02 22:23:00,10,12,False,None,Medium
135,LN-2026008,SOP-LU-001,15,Post-Disbursement Audit Tagging,P.Nair,2026-06-02 22:47:00,5,5,False,None,Low
136,LN-2026009,SOP-LU-001,1,Application Intake,R.Das,2026-05-28 08:29:00,10,10,False,None,Low
137,LN-2026009,SOP-LU-001,2,KYC & Identity Verification,N.Bose,2026-05-28 08:51:00,20,17,False,None,High
138,LN-2026009,SOP-LU-001,3,Credit Bureau Pull,N.Bose,2026-05-28 09:14:00,15,14,True,Tool Substitution,Medium
139,LN-2026009,SOP-LU-001,4,Income & Employment Verification,K.Menon,2026-05-28 09:38:00,25,23,False,None,Medium
140,LN-2026009,SOP-LU-001,5,Debt-to-Income Calculation,S.Iyer,2026-05-28 10:03:00,10,10,False,None,Medium
141,LN-2026009,SOP-LU-001,6,Collateral Valuation,K.Menon,2026-05-28 11:06:00,45,47,False,None,High
142,LN-2026009,SOP-LU-001,7,Fraud Risk Screening,S.Iyer,2026-05-28 11:25:00,15,11,False,None,High
143,LN-2026009,SOP-LU-001,8,Automated Credit Scoring,J.Pillai,2026-05-28 11:37:00,5,5,False,None,Medium
144,LN-2026009,SOP-LU-001,9,Manual Underwriting Review,T.Sharma,2026-05-28 12:14:00,30,32,False,None,High
145,LN-2026009,SOP-LU-001,10,Conditional Approval Decision,R.Das,2026-05-28 12:38:00,15,12,False,None,Medium
146,LN-2026009,SOP-LU-001,11,Document Stipulation Collection,R.Das,2026-05-28 13:19:00,20,25,False,None,Low
147,LN-2026009,SOP-LU-001,12,Final Compliance Sign-off,A.Rao,2026-05-28 13:47:00,15,13,False,None,High
148,LN-2026009,SOP-LU-001,13,Final Approval & Booking,M.Khan,2026-05-28 14:13:00,10,9,False,None,Medium
149,LN-2026009,SOP-LU-001,14,Disbursement Instruction,A.Rao,2026-05-28 14:28:00,10,11,False,None,Medium
150,LN-2026009,SOP-LU-001,15,Post-Disbursement Audit Tagging,S.Iyer,2026-05-28 14:34:00,5,5,True,Tool Substitution,Low
151,LN-2026010,SOP-LU-001,1,Application Intake,N.Bose,2026-07-13 05:14:00,10,9,False,None,Low
152,LN-2026010,SOP-LU-001,2,KYC & Identity Verification,N.Bose,2026-07-13 05:38:00,20,20,False,None,High
153,LN-2026010,SOP-LU-001,3,Credit Bureau Pull,S.Iyer,2026-07-13 06:11:00,15,14,True,Step Skipped,Medium
154,LN-2026010,SOP-LU-001,4,Income & Employment Verification,T.Sharma,2026-07-13 06:35:00,25,23,False,None,Medium
155,LN-2026010,SOP-LU-001,5,Debt-to-Income Calculation,S.Iyer,2026-07-13 07:03:00,10,12,False,None,Medium
156,LN-2026010,SOP-LU-001,6,Collateral Valuation,A.Rao,2026-07-13 08:06:00,45,47,False,None,High
157,LN-2026010,SOP-LU-001,7,Fraud Risk Screening,A.Rao,2026-07-13 08:32:00,15,14,False,None,High
158,LN-2026010,SOP-LU-001,8,Automated Credit Scoring,P.Nair,2026-07-13 08:55:00,5,5,False,None,Medium
159,LN-2026010,SOP-LU-001,9,Manual Underwriting Review,K.Menon,2026-07-13 09:39:00,30,25,False,None,High
160,LN-2026010,SOP-LU-001,10,Conditional Approval Decision,N.Bose,2026-07-13 10:05:00,15,15,False,None,Medium
161,LN-2026010,SOP-LU-001,11,Document Stipulation Collection,M.Khan,2026-07-13 10:25:00,20,19,False,None,Low
162,LN-2026010,SOP-LU-001,12,Final Compliance Sign-off,S.Iyer,2026-07-13 10:49:00,15,16,False,None,High
163,LN-2026010,SOP-LU-001,13,Final Approval & Booking,P.Nair,2026-07-13 11:06:00,10,9,False,None,Medium
164,LN-2026010,SOP-LU-001,14,Disbursement Instruction,S.Iyer,2026-07-13 11:26:00,10,10,False,None,Medium
165,LN-2026010,SOP-LU-001,15,Post-Disbursement Audit Tagging,A.Rao,2026-07-13 11:48:00,5,4,False,None,Low
166,LN-2026011,SOP-LU-001,1,Application Intake,M.Khan,2026-07-03 04:20:00,10,9,False,None,Low
167,LN-2026011,SOP-LU-001,2,KYC & Identity Verification,P.Nair,2026-07-03 04:45:00,20,21,False,None,High
168,LN-2026011,SOP-LU-001,3,Credit Bureau Pull,K.Menon,2026-07-03 05:11:00,15,16,False,None,Medium
169,LN-2026011,SOP-LU-001,4,Income & Employment Verification,A.Rao,2026-07-03 05:45:00,25,31,False,None,Medium
170,LN-2026011,SOP-LU-001,5,Debt-to-Income Calculation,P.Nair,2026-07-03 06:09:00,10,7,False,None,Medium
171,LN-2026011,SOP-LU-001,6,Collateral Valuation,V.Reddy,2026-07-03 07:06:00,45,40,False,None,High
172,LN-2026011,SOP-LU-001,7,Fraud Risk Screening,P.Nair,2026-07-03 07:28:00,15,15,False,None,High
173,LN-2026011,SOP-LU-001,8,Automated Credit Scoring,P.Nair,2026-07-03 07:38:00,5,5,False,None,Medium
174,LN-2026011,SOP-LU-001,9,Manual Underwriting Review,R.Das,2026-07-03 08:21:00,30,31,False,None,High
175,LN-2026011,SOP-LU-001,10,Conditional Approval Decision,R.Das,2026-07-03 08:42:00,15,18,False,None,Medium
176,LN-2026011,SOP-LU-001,11,Document Stipulation Collection,N.Bose,2026-07-03 09:09:00,20,18,False,None,Low
177,LN-2026011,SOP-LU-001,12,Final Compliance Sign-off,N.Bose,2026-07-03 09:41:00,15,16,False,None,High
178,LN-2026011,SOP-LU-001,13,Final Approval & Booking,A.Rao,2026-07-03 10:00:00,10,6,False,None,Medium
179,LN-2026011,SOP-LU-001,14,Disbursement Instruction,R.Das,2026-07-03 10:21:00,10,9,False,None,Medium
180,LN-2026011,SOP-LU-001,15,Post-Disbursement Audit Tagging,R.Das,2026-07-03 10:35:00,5,5,False,None,Low
181,LN-2026012,SOP-LU-001,1,Application Intake,T.Sharma,2026-05-04 03:29:00,10,10,False,None,Low
182,LN-2026012,SOP-LU-001,2,KYC & Identity Verification,N.Bose,2026-05-04 04:03:00,20,19,False,None,High
183,LN-2026012,SOP-LU-001,3,Credit Bureau Pull,J.Pillai,2026-05-04 04:24:00,15,17,False,None,Medium
184,LN-2026012,SOP-LU-001,4,Income & Employment Verification,A.Rao,2026-05-04 05:13:00,25,33,False,None,Medium
185,LN-2026012,SOP-LU-001,5,Debt-to-Income Calculation,A.Rao,2026-05-04 05:26:00,10,8,False,None,Medium
186,LN-2026012,SOP-LU-001,6,Collateral Valuation,N.Bose,2026-05-04 06:13:00,45,44,False,None,High
187,LN-2026012,SOP-LU-001,7,Fraud Risk Screening,P.Nair,2026-05-04 06:45:00,15,14,False,None,High
188,LN-2026012,SOP-LU-001,8,Automated Credit Scoring,K.Menon,2026-05-04 07:05:00,5,5,False,None,Medium
189,LN-2026012,SOP-LU-001,9,Manual Underwriting Review,T.Sharma,2026-05-04 07:48:00,30,31,False,None,High
190,LN-2026012,SOP-LU-001,10,Conditional Approval Decision,K.Menon,2026-05-04 08:18:00,15,13,False,None,Medium
191,LN-2026012,SOP-LU-001,11,Document Stipulation Collection,R.Das,2026-05-04 08:54:00,20,18,False,None,Low
192,LN-2026012,SOP-LU-001,12,Final Compliance Sign-off,M.Khan,2026-05-04 09:11:00,15,15,False,None,High
193,LN-2026012,SOP-LU-001,13,Final Approval & Booking,R.Das,2026-05-04 09:29:00,10,11,False,None,Medium
194,LN-2026012,SOP-LU-001,14,Disbursement Instruction,P.Nair,2026-05-04 09:51:00,10,9,False,None,Medium
195,LN-2026012,SOP-LU-001,15,Post-Disbursement Audit Tagging,M.Khan,2026-05-04 10:14:00,5,4,False,None,Low
196,LN-2026013,SOP-LU-001,1,Application Intake,R.Das,2026-06-20 05:19:00,10,12,False,None,Low
197,LN-2026013,SOP-LU-001,2,KYC & Identity Verification,A.Rao,2026-06-20 05:48:00,20,22,False,None,High
198,LN-2026013,SOP-LU-001,3,Credit Bureau Pull,P.Nair,2026-06-20 06:05:00,15,14,False,None,Medium
199,LN-2026013,SOP-LU-001,4,Income & Employment Verification,J.Pillai,2026-06-20 06:35:00,25,22,False,None,Medium
200,LN-2026013,SOP-LU-001,5,Debt-to-Income Calculation,T.Sharma,2026-06-20 06:51:00,10,7,False,None,Medium
201,LN-2026013,SOP-LU-001,6,Collateral Valuation,V.Reddy,2026-06-20 07:58:00,45,50,False,None,High
202,LN-2026013,SOP-LU-001,7,Fraud Risk Screening,N.Bose,2026-06-20 08:16:00,15,17,False,None,High
203,LN-2026013,SOP-LU-001,8,Automated Credit Scoring,S.Iyer,2026-06-20 08:26:00,5,5,False,None,Medium
204,LN-2026013,SOP-LU-001,9,Manual Underwriting Review,R.Das,2026-06-20 09:00:00,30,30,False,None,High
205,LN-2026013,SOP-LU-001,10,Conditional Approval Decision,J.Pillai,2026-06-20 09:34:00,15,16,False,None,Medium
206,LN-2026013,SOP-LU-001,11,Document Stipulation Collection,P.Nair,2026-06-20 10:09:00,20,20,False,None,Low
207,LN-2026013,SOP-LU-001,12,Final Compliance Sign-off,P.Nair,2026-06-20 10:28:00,15,18,False,None,High
208,LN-2026013,SOP-LU-001,13,Final Approval & Booking,S.Iyer,2026-06-20 10:42:00,10,11,False,None,Medium
209,LN-2026013,SOP-LU-001,14,Disbursement Instruction,V.Reddy,2026-06-20 10:59:00,10,9,True,Order Swapped,Medium
210,LN-2026013,SOP-LU-001,15,Post-Disbursement Audit Tagging,K.Menon,2026-06-20 11:08:00,5,5,False,None,Low
211,LN-2026014,SOP-LU-001,1,Application Intake,M.Khan,2026-05-04 17:12:00,10,7,False,None,Low
212,LN-2026014,SOP-LU-001,2,KYC & Identity Verification,P.Nair,2026-05-04 17:39:00,20,18,False,None,High
213,LN-2026014,SOP-LU-001,3,Credit Bureau Pull,A.Rao,2026-05-04 18:10:00,15,14,False,None,Medium
214,LN-2026014,SOP-LU-001,4,Income & Employment Verification,K.Menon,2026-05-04 18:37:00,25,18,False,None,Medium
215,LN-2026014,SOP-LU-001,5,Debt-to-Income Calculation,P.Nair,2026-05-04 19:04:00,10,11,False,None,Medium
216,LN-2026014,SOP-LU-001,6,Collateral Valuation,N.Bose,2026-05-04 19:58:00,45,41,False,None,High
217,LN-2026014,SOP-LU-001,7,Fraud Risk Screening,N.Bose,2026-05-04 20:28:00,15,12,False,None,High
218,LN-2026014,SOP-LU-001,8,Automated Credit Scoring,K.Menon,2026-05-04 20:47:00,5,6,False,None,Medium
219,LN-2026014,SOP-LU-001,9,Manual Underwriting Review,V.Reddy,2026-05-04 21:16:00,30,28,False,None,High
220,LN-2026014,SOP-LU-001,10,Conditional Approval Decision,N.Bose,2026-05-04 21:46:00,15,12,False,None,Medium
221,LN-2026014,SOP-LU-001,11,Document Stipulation Collection,V.Reddy,2026-05-04 22:17:00,20,14,False,None,Low
222,LN-2026014,SOP-LU-001,12,Final Compliance Sign-off,N.Bose,2026-05-04 22:48:00,15,18,False,None,High
223,LN-2026014,SOP-LU-001,13,Final Approval & Booking,N.Bose,2026-05-04 23:03:00,10,10,False,None,Medium
224,LN-2026014,SOP-LU-001,14,Disbursement Instruction,S.Iyer,2026-05-04 23:17:00,10,9,False,None,Medium
225,LN-2026014,SOP-LU-001,15,Post-Disbursement Audit Tagging,V.Reddy,2026-05-04 23:27:00,5,5,False,None,Low
