audit_id,timestamp,user,action,entity_type,entity_id,details
AUD-5069,2026-06-02 10:00:00,N.Fernandes (Process Owner),ALERT_TRIGGERED,Alert,SOP-LU-001-12,Auto-logged for immutable compliance audit trail.
AUD-5104,2026-06-02 19:00:00,R.Kapoor (Compliance Lead),ALERT_TRIGGERED,SOP,SOP-LU-001-10,Auto-logged for immutable compliance audit trail.
AUD-5010,2026-06-03 09:00:00,N.Fernandes (Process Owner),RISK_FLAGGED,Alert,SOP-LU-001-2,Auto-logged for immutable compliance audit trail.
AUD-5089,2026-06-03 20:00:00,N.Fernandes (Process Owner),SOP_MUTATION_REJECTED,Mutation,SOP-LU-001-1,Auto-logged for immutable compliance audit trail.
AUD-5105,2026-06-04 01:00:00,N.Fernandes (Process Owner),SOP_GENERATED,Risk,SOP-LU-001-7,Auto-logged for immutable compliance audit trail.
AUD-5030,2026-06-05 04:00:00,R.Kapoor (Compliance Lead),SOP_MUTATION_PROPOSED,Alert,SOP-LU-001-5,Auto-logged for immutable compliance audit trail.
AUD-5027,2026-06-05 09:00:00,N.Fernandes (Process Owner),SOP_MUTATION_APPROVED,Alert,SOP-LU-001-12,Auto-logged for immutable compliance audit trail.
AUD-5001,2026-06-05 22:00:00,R.Kapoor (Compliance Lead),SOP_GENERATED,Step,SOP-LU-001-14,Auto-logged for immutable compliance audit trail.
AUD-5039,2026-06-06 20:00:00,System Monitor,RISK_FLAGGED,Mutation,SOP-LU-001-3,Auto-logged for immutable compliance audit trail.
AUD-5051,2026-06-07 22:00:00,S.Iyer (Underwriter),SOP_MUTATION_PROPOSED,SOP,SOP-LU-001-3,Auto-logged for immutable compliance audit trail.
AUD-5050,2026-06-08 12:00:00,AI Agent,SOP_GENERATED,SOP,SOP-LU-001-7,Auto-logged for immutable compliance audit trail.
AUD-5117,2026-06-10 15:00:00,AI Agent,SOP_MUTATION_REJECTED,Alert,SOP-LU-001-7,Auto-logged for immutable compliance audit trail.
AUD-5060,2026-06-12 12:00:00,System Monitor,ALERT_TRIGGERED,Risk,SOP-LU-001-3,Auto-logged for immutable compliance audit trail.
AUD-5085,2026-06-12 16:00:00,R.Kapoor (Compliance Lead),TRAINING_MATERIAL_GENERATED,Risk,SOP-LU-001-6,Auto-logged for immutable compliance audit trail.
AUD-5113,2026-06-13 01:00:00,S.Iyer (Underwriter),RISK_FLAGGED,Mutation,SOP-LU-001-5,Auto-logged for immutable compliance audit trail.
AUD-5042,2026-06-13 09:00:00,S.Iyer (Underwriter),SOP_MUTATION_APPROVED,Alert,SOP-LU-001-4,Auto-logged for immutable compliance audit trail.
AUD-5092,2026-06-15 08:00:00,N.Fernandes (Process Owner),ALERT_TRIGGERED,Risk,SOP-LU-001-9,Auto-logged for immutable compliance audit trail.
AUD-5059,2026-06-15 15:00:00,N.Fernandes (Process Owner),DASHBOARD_EXPORTED,Mutation,SOP-LU-001-12,Auto-logged for immutable compliance audit trail.
AUD-5087,2026-06-15 23:00:00,N.Fernandes (Process Owner),TRAINING_MATERIAL_GENERATED,Risk,SOP-LU-001-3,Auto-logged for immutable compliance audit trail.
AUD-5054,2026-06-16 06:00:00,System Monitor,SOP_MUTATION_PROPOSED,SOP,SOP-LU-001-3,Auto-logged for immutable compliance audit trail.
AUD-5021,2026-06-16 17:00:00,N.Fernandes (Process Owner),EXPLANATION_VIEWED,Step,SOP-LU-001-7,Auto-logged for immutable compliance audit trail.
AUD-5062,2026-06-17 01:00:00,S.Iyer (Underwriter),MANUAL_REVIEW_COMPLETED,Step,SOP-LU-001-5,Auto-logged for immutable compliance audit trail.
AUD-5112,2026-06-17 19:00:00,System Monitor,SOP_MUTATION_PROPOSED,Risk,SOP-LU-001-3,Auto-logged for immutable compliance audit trail.
AUD-5066,2026-06-18 18:00:00,System Monitor,TRAINING_MATERIAL_GENERATED,SOP,SOP-LU-001-7,Auto-logged for immutable compliance audit trail.
AUD-5034,2026-06-20 01:00:00,System Monitor,TRAINING_MATERIAL_GENERATED,Step,SOP-LU-001-10,Auto-logged for immutable compliance audit trail.
AUD-5086,2026-06-21 01:00:00,AI Agent,ALERT_TRIGGERED,Step,SOP-LU-001-9,Auto-logged for immutable compliance audit trail.
AUD-5076,2026-06-21 01:00:00,S.Iyer (Underwriter),DRIFT_DETECTED,Mutation,SOP-LU-001-4,Auto-logged for immutable compliance audit trail.
AUD-5038,2026-06-21 03:00:00,R.Kapoor (Compliance Lead),SOP_MUTATION_APPROVED,Alert,SOP-LU-001-9,Auto-logged for immutable compliance audit trail.
AUD-5016,2026-06-21 15:00:00,System Monitor,SOP_MUTATION_APPROVED,Risk,SOP-LU-001-13,Auto-logged for immutable compliance audit trail.
AUD-5078,2026-06-22 00:00:00,System Monitor,SOP_GENERATED,Risk,SOP-LU-001-15,Auto-logged for immutable compliance audit trail.
AUD-5029,2026-06-23 15:00:00,N.Fernandes (Process Owner),SOP_GENERATED,Step,SOP-LU-001-10,Auto-logged for immutable compliance audit trail.
AUD-5055,2026-06-24 06:00:00,S.Iyer (Underwriter),SOP_MUTATION_APPROVED,Mutation,SOP-LU-001-13,Auto-logged for immutable compliance audit trail.
AUD-5110,2026-06-24 14:00:00,N.Fernandes (Process Owner),SOP_MUTATION_APPROVED,SOP,SOP-LU-001-1,Auto-logged for immutable compliance audit trail.
AUD-5107,2026-06-27 08:00:00,S.Iyer (Underwriter),TRAINING_MATERIAL_GENERATED,SOP,SOP-LU-001-9,Auto-logged for immutable compliance audit trail.
AUD-5075,2026-06-27 16:00:00,R.Kapoor (Compliance Lead),MANUAL_REVIEW_COMPLETED,SOP,SOP-LU-001-5,Auto-logged for immutable compliance audit trail.
AUD-5070,2026-06-28 21:00:00,R.Kapoor (Compliance Lead),DASHBOARD_EXPORTED,Alert,SOP-LU-001-11,Auto-logged for immutable compliance audit trail.
AUD-5116,2026-07-01 16:00:00,System Monitor,MANUAL_REVIEW_COMPLETED,Alert,SOP-LU-001-6,Auto-logged for immutable compliance audit trail.
AUD-5109,2026-07-02 01:00:00,AI Agent,RISK_FLAGGED,Risk,SOP-LU-001-4,Auto-logged for immutable compliance audit trail.
AUD-5032,2026-07-02 01:00:00,System Monitor,SOP_MUTATION_APPROVED,Risk,SOP-LU-001-11,Auto-logged for immutable compliance audit trail.
AUD-5044,2026-07-03 12:00:00,System Monitor,DASHBOARD_EXPORTED,Alert,SOP-LU-001-10,Auto-logged for immutable compliance audit trail.
AUD-5041,2026-07-05 03:00:00,R.Kapoor (Compliance Lead),ALERT_TRIGGERED,Risk,SOP-LU-001-2,Auto-logged for immutable compliance audit trail.
AUD-5094,2026-07-06 08:00:00,R.Kapoor (Compliance Lead),SOP_MUTATION_PROPOSED,SOP,SOP-LU-001-13,Auto-logged for immutable compliance audit trail.
AUD-5024,2026-07-09 04:00:00,N.Fernandes (Process Owner),ALERT_TRIGGERED,Alert,SOP-LU-001-14,Auto-logged for immutable compliance audit trail.
AUD-5040,2026-07-12 00:00:00,N.Fernandes (Process Owner),MANUAL_REVIEW_COMPLETED,Mutation,SOP-LU-001-5,Auto-logged for immutable compliance audit trail.
AUD-5108,2026-07-12 21:00:00,N.Fernandes (Process Owner),DRIFT_DETECTED,SOP,SOP-LU-001-5,Auto-logged for immutable compliance audit trail.
AUD-5046,2026-07-14 00:00:00,S.Iyer (Underwriter),SOP_GENERATED,Alert,SOP-LU-001-4,Auto-logged for immutable compliance audit trail.
AUD-5014,2026-07-14 00:00:00,R.Kapoor (Compliance Lead),DASHBOARD_EXPORTED,Risk,SOP-LU-001-4,Auto-logged for immutable compliance audit trail.
AUD-5061,2026-07-14 21:00:00,AI Agent,TRAINING_MATERIAL_GENERATED,Alert,SOP-LU-001-5,Auto-logged for immutable compliance audit trail.
AUD-5018,2026-07-15 23:00:00,AI Agent,SOP_GENERATED,SOP,SOP-LU-001-2,Auto-logged for immutable compliance audit trail.
AUD-5120,2026-07-16 01:00:00,N.Fernandes (Process Owner),SOP_MUTATION_PROPOSED,Alert,SOP-LU-001-10,Auto-logged for immutable compliance audit trail.
AUD-5080,2026-07-18 13:00:00,AI Agent,DRIFT_DETECTED,Mutation,SOP-LU-001-2,Auto-logged for immutable compliance audit trail.
AUD-5004,2026-07-20 19:00:00,AI Agent,ALERT_TRIGGERED,Risk,SOP-LU-001-2,Auto-logged for immutable compliance audit trail.
AUD-5101,2026-07-20 21:00:00,N.Fernandes (Process Owner),MANUAL_REVIEW_COMPLETED,Alert,SOP-LU-001-3,Auto-logged for immutable compliance audit trail.
AUD-5009,2026-07-22 08:00:00,AI Agent,SOP_MUTATION_APPROVED,Step,SOP-LU-001-4,Auto-logged for immutable compliance audit trail.
AUD-5022,2026-07-22 15:00:00,S.Iyer (Underwriter),DRIFT_DETECTED,Alert,SOP-LU-001-3,Auto-logged for immutable compliance audit trail.
AUD-5098,2026-07-22 22:00:00,N.Fernandes (Process Owner),ALERT_TRIGGERED,Step,SOP-LU-001-10,Auto-logged for immutable compliance audit trail.
AUD-5002,2026-07-23 04:00:00,S.Iyer (Underwriter),DRIFT_DETECTED,Step,SOP-LU-001-1,Auto-logged for immutable compliance audit trail.
AUD-5079,2026-07-23 07:00:00,N.Fernandes (Process Owner),RISK_FLAGGED,SOP,SOP-LU-001-10,Auto-logged for immutable compliance audit trail.
AUD-5035,2026-07-23 16:00:00,AI Agent,MANUAL_REVIEW_COMPLETED,Mutation,SOP-LU-001-10,Auto-logged for immutable compliance audit trail.
AUD-5074,2026-07-24 13:00:00,S.Iyer (Underwriter),SOP_MUTATION_APPROVED,Mutation,SOP-LU-001-2,Auto-logged for immutable compliance audit trail.
AUD-5093,2026-07-24 13:00:00,R.Kapoor (Compliance Lead),RISK_FLAGGED,Risk,SOP-LU-001-9,Auto-logged for immutable compliance audit trail.
AUD-5067,2026-07-26 19:00:00,R.Kapoor (Compliance Lead),TRAINING_MATERIAL_GENERATED,Risk,SOP-LU-001-9,Auto-logged for immutable compliance audit trail.
AUD-5072,2026-07-29 08:00:00,R.Kapoor (Compliance Lead),SOP_MUTATION_APPROVED,SOP,SOP-LU-001-6,Auto-logged for immutable compliance audit trail.
AUD-5106,2026-07-29 14:00:00,AI Agent,DASHBOARD_EXPORTED,Step,SOP-LU-001-4,Auto-logged for immutable compliance audit trail.
AUD-5052,2026-07-29 20:00:00,AI Agent,EXPLANATION_VIEWED,Risk,SOP-LU-001-2,Auto-logged for immutable compliance audit trail.
AUD-5005,2026-07-30 02:00:00,AI Agent,DRIFT_DETECTED,Step,SOP-LU-001-12,Auto-logged for immutable compliance audit trail.
AUD-5053,2026-07-30 06:00:00,AI Agent,EXPLANATION_VIEWED,Mutation,SOP-LU-001-9,Auto-logged for immutable compliance audit trail.
AUD-5056,2026-07-30 17:00:00,System Monitor,EXPLANATION_VIEWED,Risk,SOP-LU-001-8,Auto-logged for immutable compliance audit trail.
AUD-5068,2026-07-30 20:00:00,N.Fernandes (Process Owner),ALERT_TRIGGERED,SOP,SOP-LU-001-10,Auto-logged for immutable compliance audit trail.
AUD-5025,2026-07-31 13:00:00,System Monitor,TRAINING_MATERIAL_GENERATED,SOP,SOP-LU-001-9,Auto-logged for immutable compliance audit trail.
AUD-5036,2026-07-31 20:00:00,System Monitor,SOP_MUTATION_REJECTED,SOP,SOP-LU-001-11,Auto-logged for immutable compliance audit trail.
AUD-5006,2026-08-02 12:00:00,S.Iyer (Underwriter),SOP_MUTATION_PROPOSED,Step,SOP-LU-001-6,Auto-logged for immutable compliance audit trail.
AUD-5003,2026-08-02 12:00:00,S.Iyer (Underwriter),RISK_FLAGGED,Risk,SOP-LU-001-11,Auto-logged for immutable compliance audit trail.
AUD-5048,2026-08-02 14:00:00,S.Iyer (Underwriter),SOP_MUTATION_PROPOSED,Mutation,SOP-LU-001-11,Auto-logged for immutable compliance audit trail.
AUD-5115,2026-08-03 04:00:00,R.Kapoor (Compliance Lead),RISK_FLAGGED,Mutation,SOP-LU-001-12,Auto-logged for immutable compliance audit trail.
AUD-5007,2026-08-08 01:00:00,N.Fernandes (Process Owner),DRIFT_DETECTED,Risk,SOP-LU-001-11,Auto-logged for immutable compliance audit trail.
AUD-5026,2026-08-08 19:00:00,System Monitor,DASHBOARD_EXPORTED,SOP,SOP-LU-001-13,Auto-logged for immutable compliance audit trail.
