incident_id,sop_id,step_no,step_name,risk_type,severity,detected_on,description,resolved
RSK-1032,SOP-LU-001,1,Application Intake,Unauthorized Step Bypass,Low,2026-07-15,Anomalous pattern detected at 'Application Intake' during automated risk scan.,True
RSK-1033,SOP-LU-001,14,Disbursement Instruction,SLA Breach,Medium,2026-06-24,Anomalous pattern detected at 'Disbursement Instruction' during automated risk scan.,False
RSK-1034,SOP-LU-001,13,Final Approval & Booking,Unauthorized Step Bypass,High,2026-05-17,Anomalous pattern detected at 'Final Approval & Booking' during automated risk scan.,False
RSK-1035,SOP-LU-001,10,Conditional Approval Decision,Data Quality Issue,Medium,2026-05-14,Anomalous pattern detected at 'Conditional Approval Decision' during automated risk scan.,True
RSK-1036,SOP-LU-001,9,Manual Underwriting Review,Fraud Indicator,High,2026-06-10,Anomalous pattern detected at 'Manual Underwriting Review' during automated risk scan.,False
RSK-1037,SOP-LU-001,14,Disbursement Instruction,Data Quality Issue,Low,2026-07-27,Anomalous pattern detected at 'Disbursement Instruction' during automated risk scan.,True
RSK-1038,SOP-LU-001,10,Conditional Approval Decision,Valuation Anomaly,Low,2026-08-04,Anomalous pattern detected at 'Conditional Approval Decision' during automated risk scan.,False
RSK-1039,SOP-LU-001,1,Application Intake,Unauthorized Step Bypass,Medium,2026-06-09,Anomalous pattern detected at 'Application Intake' during automated risk scan.,False
RSK-1040,SOP-LU-001,2,KYC & Identity Verification,Unauthorized Step Bypass,Low,2026-07-30,Anomalous pattern detected at 'KYC & Identity Verification' during automated risk scan.,False
RSK-1041,SOP-LU-001,11,Document Stipulation Collection,SLA Breach,High,2026-07-03,Anomalous pattern detected at 'Document Stipulation Collection' during automated risk scan.,False
RSK-1042,SOP-LU-001,7,Fraud Risk Screening,Fraud Indicator,Low,2026-06-12,Anomalous pattern detected at 'Fraud Risk Screening' during automated risk scan.,False
